tweet,user,location,date
"@VentraChicago @cta @chicagosmayor After 4 unsuccessful attempts it is finally working for the moment. However, my… https://t.co/fpqsPSRf1y",mharris621,"Chicago, Illinois",2019-10-22 14:17:04
RT @cta: [Minor Delays] Brown Line trains are standing at LaSalle/Van Buren due to a door problem. Crews working to restore service.,itsmetyrinh,"Chicago, IL",2019-10-22 14:15:39
RT @cta: [Minor Delays] Brown Line trains are running w/residual delays following an earlier door problem at LaSalle/Van Buren. Service is…,itsmetyrinh,"Chicago, IL",2019-10-22 14:15:31
RT @cta: [Significant Delays] Midway-bound Orange Line trains are running w/residual delays following an earlier mechanical problem at 35th…,transit_tweets,,2019-10-22 14:14:13
RT @cta: [Minor Delays] Brown Line trains are running w/residual delays following an earlier door problem at LaSalle/Van Buren. Service is…,opisarepost,"Burbank, IL",2019-10-22 14:14:09
"@CtaThoughts @ctabrown @cta @CTAFails The train right behind - because, since summer started, commute-hour Brown Li… https://t.co/4M2ZAJwl22",SilvestriWoman,"Chicago, IL",2019-10-22 14:13:12
RT @cta: [Significant Delays] Red Line trains are standing near Roosevelt due to an unauthorized person on the tracks. Crews working to res…,transit_tweets,,2019-10-22 14:12:37
"@AusarMusic @cta you don’t know my route, you can’t hurt me",annelionaire,"Chicago, IL",2019-10-22 14:09:13
"The @cta’s inability to run an efficient, timely and reliable service in the year of our Lord 2019 is ridiculous.",jakelevinm,"Chicago, IL",2019-10-22 14:08:38
@cta_oh @cta Exactly!! I couldn't even take it so I just got on the red line and took the tardy occurrence at work.… https://t.co/bs4GmKNCOa,MzNeauxla,Chicago,2019-10-22 14:07:04
RT @cta: [Significant Delays] Midway-bound Orange Line trains are running w/residual delays following an earlier mechanical problem at 35th…,itsmetyrinh,"Chicago, IL",2019-10-22 14:04:32
@feentweets @cta simply unreal. seems like the person they employed to respond to tweets and who had some meaningfu… https://t.co/3bZOrC2rfS,demschr,,2019-10-22 13:59:53
That train always delayed tf RT @cta: [Significant Delays] 95th-bound Red Line trains are running with delays at Be… https://t.co/9fA8X4LPMY,beau2ful_bronze, rainbow island/chicago ,2019-10-22 13:58:14
@demschr @cta The @cta spaces out their tweets to make the delays seem way shorter than they ever are. 😔,feentweets,"Chicago, IL",2019-10-22 13:56:18
RT @cta: [Significant Delays] 95th-bound Red Line trains are running w/residual delays following earlier police activity at Belmont. Servic…,transit_tweets,,2019-10-22 13:52:29
Wow! Someone on this train slept in their cloud of ganja last night @cta #Redline #Addison,SuzieQtuti,"Chicago, IL, USA",2019-10-22 13:52:05
RT @cta: [Significant Delays] 95th-bound Red Line trains are running with delays at Belmont due to police activity.,transit_tweets,,2019-10-22 13:49:48
@cta Heading south.,kaaatttherine,,2019-10-22 13:46:32
@cta Thank you! It’s around 730AM on the 146 line from Cornelia to Belmont.,kaaatttherine,,2019-10-22 13:46:24
@cta thank you.,smokeyvisnatch,,2019-10-22 13:46:24
@cta really? 13 minutes after i tweeted?,demschr,,2019-10-22 13:42:31
RT @cta: [Significant Delays] 95th-bound Red Line trains are running with delays at Belmont due to police activity.,WGNNews,"Chicago, IL",2019-10-22 13:42:30
"Inadvertently got off the @cta Green Line a stop early this a.m., and look what was waiting on the rooftop there. I… https://t.co/KkPL8GWXAo",AndrewLHipp,"DuPage Co., IL",2019-10-22 13:40:28
"@cta Hey. First we were standing for police activity, now we're standing waiting for a train up ahead (red line). C… https://t.co/Mst5DG0I5V",smokeyvisnatch,,2019-10-22 13:37:31
